asr,diar,oracle,clip_id,cp_errors,cp_len,di_errors,di_len,wer_errors,wer_len,wder_errors,wder_len,ref_words,hyp_words,ref_spk,hyp_spk
indicconformer,pyannote31+llm,False,VY_4x1scS-Y__000013000_000121000,320,336,320,336,319,336,4,59,336,60,4,1
indicconformer,pyannote31+rule,False,0AEEA8NyVwY__000011000_000609000,765,1333,765,1333,761,1333,31,815,1333,826,3,3
indicconformer,pyannote31+rule,False,0SoItGfM_sY__000007000_000088000,107,165,107,165,107,165,2,115,165,117,5,5
indicconformer,pyannote31+rule,False,0VEwL9XZ0LY__000261000_000557000,275,873,275,873,268,873,11,751,873,768,2,2
indicconformer,pyannote31+rule,False,0esIFSOAcFs__000000000_000913000,1973,2748,1973,2748,1966,2748,24,1117,2748,1133,3,3
indicconformer,pyannote31+rule,False,0p6cktLGIfY__000012000_000930000,2090,2567,2090,2567,2084,2567,41,755,2567,760,6,5
indicconformer,pyannote31+rule,False,13VBh0Z6QmE__000000000_000904000,2473,2499,2473,2499,2470,2499,58,104,2499,104,4,4
indicconformer,pyannote31+rule,False,1LFl5JEipII__000000000_000597000,1502,1590,1500,1590,1494,1590,44,195,1590,196,5,5
indicconformer,pyannote31+rule,False,2HGP34TNvjg__000084000_000194000,175,296,175,296,174,296,4,198,296,205,2,2
indicconformer,pyannote31+rule,False,2LN6vb7EBn0__000098000_000394000,745,751,745,751,743,751,13,30,751,30,3,3
indicconformer,pyannote31+rule,False,2T4pjueLrsk__000677000_001290000,2131,2314,2131,2314,2132,2314,41,338,2314,340,4,3
indicconformer,pyannote31+rule,False,2gGHQgj9yno__000000000_000099000,266,285,266,285,266,285,8,30,285,30,4,2
indicconformer,pyannote31+rule,False,2iMXYxBTwbM__000339000_000401000,181,188,181,188,181,188,13,26,188,26,3,2
indicconformer,pyannote31+rule,False,37dND_0r6S8__000060000_000222000,556,557,556,557,556,557,0,1,557,1,2,1
indicconformer,pyannote31+rule,False,4Qg2jWP6_T0__000136000_000202000,251,266,251,266,248,266,27,49,266,54,3,3
indicconformer,pyannote31+rule,False,6-726qTlYeg__000102000_000162000,204,214,204,214,206,214,11,52,214,52,2,2
indicconformer,pyannote31+rule,False,6ZeRgvDHwcI__000006000_000100000,171,189,171,189,169,189,27,50,189,50,2,2
indicconformer,pyannote31+rule,False,6f6TLzlP8Wk__000082000_000144000,236,236,236,236,236,236,28,76,236,76,2,2
